,geo,year,avg_male,min_male,max_male,avg_female,min_female,max_female,avg_both,min_both,max_both
154,Slovenia,2016,53.2,51.6,54.8,18.3,17.7,18.9,38.3,37.1,39.5
155,Solomon Islands,2016,27.1,25.9,28.3,10.1,9.7,10.6,22.6,21.6,23.6
156,Somalia,2016,3.9,3.6,4.3,1.5,1.4,1.6,3.3,3.0,3.6
157,South Africa,2016,81.0,78.0,84.1,29.6,28.5,30.8,64.6,62.1,67.0
158,Spain,2016,43.8,42.3,45.2,15.1,14.5,15.6,31.5,30.4,32.6
159,Sri Lanka,2016,40.8,38.9,42.8,14.5,13.8,15.2,32.2,30.6,33.7
160,Sudan,2016,56.1,50.6,61.6,20.9,18.9,23.0,47.5,42.9,52.2
161,Suriname,2016,33.6,32.5,34.7,12.0,11.6,12.4,26.2,25.4,27.1
162,Sweden,2016,37.6,36.2,39.0,13.2,12.7,13.7,27.1,26.1,28.1
163,Switzerland,2016,43.6,42.4,44.7,15.2,14.8,15.6,30.6,29.8,31.4
164,Syrian Arab Republic,2016,37.5,35.7,39.2,13.9,13.3,14.6,33.4,31.9,34.9
165,Tajikistan,2016,41.7,38.6,44.9,15.4,14.3,16.6,34.2,31.6,36.8
166,Thailand,2016,56.7,54.7,58.8,19.8,19.1,20.5,43.9,42.3,45.5
167,Timor-Leste,2016,24.9,23.0,26.8,9.3,8.6,10.1,20.5,18.9,22.1
168,Togo,2016,32.1,30.3,33.9,12.0,11.3,12.7,26.0,24.5,27.4
169,Tonga,2016,27.9,26.4,29.5,10.3,9.8,10.9,23.1,21.8,24.4
170,Trinidad and Tobago,2016,41.4,40.2,42.7,14.6,14.1,15.0,30.8,29.9,31.7
171,Tunisia,2016,88.1,83.9,92.3,31.4,29.9,32.9,79.1,75.3,82.9
172,Türkiye,2016,71.9,68.5,75.4,25.8,24.5,27.0,61.7,58.7,64.6
173,Turkmenistan,2016,48.5,46.2,50.9,17.6,16.8,18.5,38.6,36.7,40.5
174,Tuvalu,2016,31.3,30.0,32.7,11.6,11.1,12.1,25.9,24.8,27.0
175,Uganda,2016,70.7,68.3,73.2,26.9,26.0,27.9,56.3,54.3,58.3
176,Ukraine,2016,44.3,42.1,46.4,15.3,14.6,16.0,29.9,28.5,31.4
177,United Arab Emirates,2016,47.3,44.6,50.1,16.5,15.6,17.5,44.2,41.7,46.8
178,United Kingdom of Great Britain and Northern Ireland,2016,47.1,45.9,48.3,16.5,16.1,17.0,33.7,32.8,34.6
179,United Republic of Tanzania,2016,70.4,67.1,73.6,26.4,25.2,27.7,55.7,53.1,58.3
180,United States of America,2016,41.0,40.0,42.1,14.4,14.1,14.8,29.6,28.8,30.4
181,Uruguay,2016,47.4,45.8,49.0,16.8,16.2,17.4,34.0,32.8,35.1
182,Uzbekistan,2016,34.2,32.4,35.9,12.4,11.8,13.1,27.7,26.3,29.1
183,Vanuatu,2016,19.2,18.1,20.4,7.1,6.7,7.5,15.9,15.0,16.9
184,Venezuela (Bolivarian Republic of),2016,40.9,39.5,42.3,14.8,14.3,15.3,32.1,31.0,33.2
185,Viet Nam,2016,62.9,58.5,67.2,22.4,20.8,23.9,49.3,45.9,52.7
186,Yemen,2016,23.8,22.4,25.1,9.0,8.5,9.5,20.3,19.1,21.4
187,Zambia,2016,47.3,44.9,49.8,17.9,17.0,18.8,38.3,36.4,40.3
188,Zimbabwe,2016,71.8,68.9,74.7,27.1,26.0,28.2,58.8,56.5,61.2
